round_epochs,loss,MSE,val_loss,val_MSE,batch_size,dropout,epochs,layer1_size,layer2_size,optimizer
200,0.01484600268304348,0.000577638391405344,0.010004607029259205,0.00017336626478936523,32,0,200,256,128,adam
300,0.22022779285907745,0.08917180448770523,0.14109762012958527,0.04664938151836395,32,0,300,32,16,AdaDelta
300,0.013485479168593884,0.0006083857733756304,0.009534941986203194,0.00017425467376597226,32,0,300,32,16,adam
300,0.21305635571479797,0.08555350452661514,0.13512197136878967,0.044544532895088196,32,0,300,32,32,AdaDelta
300,0.01284568477421999,0.0005288549000397325,0.008256254717707634,0.00013616931391879916,32,0,300,32,32,adam
300,0.2151927947998047,0.08658745884895325,0.13651829957962036,0.0450601801276207,32,0,300,32,64,AdaDelta
300,0.013899287208914757,0.0006070783128961921,0.009436377324163914,0.00017709244275465608,32,0,300,32,64,adam
300,0.20923152565956116,0.08430365473031998,0.13135451078414917,0.043555259704589844,32,0,300,32,128,AdaDelta
300,0.013576594181358814,0.0005420687375590205,0.008056198246777058,0.00014624717005062848,32,0,300,32,128,adam
300,0.22780410945415497,0.09624437242746353,0.14518523216247559,0.05023038014769554,32,0,300,64,16,AdaDelta
300,0.013758758082985878,0.0005484273424372077,0.01127748191356659,0.00020906729332637042,32,0,300,64,16,adam
300,0.2202138453722,0.09006045758724213,0.14040711522102356,0.046979840844869614,32,0,300,64,32,AdaDelta
300,0.012408383190631866,0.0004880203341599554,0.010761325247585773,0.00023237944697029889,32,0,300,64,32,adam
300,0.21003253757953644,0.08540204167366028,0.1315474808216095,0.04402817040681839,32,0,300,64,64,AdaDelta
300,0.012096029706299305,0.00038583535933867097,0.0104184839874506,0.00024227389076258987,32,0,300,64,64,adam
300,0.21226069331169128,0.08654554188251495,0.13336078822612762,0.04477578401565552,32,0,300,64,128,AdaDelta
300,0.015347486361861229,0.0006758780800737441,0.012423727661371231,0.0002904420252889395,32,0,300,64,128,adam
300,0.21686165034770966,0.0877915471792221,0.13761906325817108,0.04579682648181915,32,0,300,128,16,AdaDelta
300,0.01178997103124857,0.0004453541769180447,0.010410204529762268,0.00021779532835353166,32,0,300,128,16,adam
300,0.21265165507793427,0.0859510749578476,0.13406041264533997,0.04460339620709419,32,0,300,128,32,AdaDelta
300,0.01160639338195324,0.00041342113399878144,0.010187353938817978,0.00019844996859319508,32,0,300,128,32,adam
300,0.21446625888347626,0.08746303617954254,0.13501150906085968,0.04538526386022568,32,0,300,128,64,AdaDelta
300,0.011507120914757252,0.00045654206769540906,0.009627423249185085,0.00020948761084582657,32,0,300,128,64,adam
300,0.2073146551847458,0.08334914594888687,0.12985022366046906,0.04294450581073761,32,0,300,128,128,AdaDelta
300,0.013588915579020977,0.0005558701232075691,0.010328090749680996,0.00019605194393079728,32,0,300,128,128,adam
300,0.20535647869110107,0.08111681044101715,0.129083514213562,0.04188528656959534,32,0,300,256,16,AdaDelta
300,0.0122549282386899,0.0004257306572981179,0.009397368878126144,0.00019183818949386477,32,0,300,256,16,adam
300,0.21076568961143494,0.08469308912754059,0.13274337351322174,0.04388783499598503,32,0,300,256,32,AdaDelta
300,0.01128361839801073,0.00040987334796227515,0.010959063656628132,0.0002317802864126861,32,0,300,256,32,adam
300,0.20602111518383026,0.08177068084478378,0.12949097156524658,0.04225970432162285,32,0,300,256,64,AdaDelta
300,0.011179978027939796,0.00044638695544563234,0.010555594228208065,0.00022610783344134688,32,0,300,256,64,adam
300,0.20944401621818542,0.08523310720920563,0.13093262910842896,0.04394800588488579,32,0,300,256,128,AdaDelta
