round_epochs,loss,mae,val_loss,val_mae,batch_size,dropout,epochs,layer1_size,layer2_size,optimizer
100,0.0009197770268656313,0.021372849121689796,0.0008827961864881217,0.022125616669654846,32,0,100,32,128,adam
100,0.09578973054885864,0.22672061622142792,0.05370873212814331,0.1535971760749817,32,0,100,64,64,AdaDelta
8,0.01255361270159483,0.10059480369091034,0.013349476270377636,0.110519640147686,32,0,100,64,64,adam
100,0.09546642005443573,0.22455868124961853,0.0532817468047142,0.15099577605724335,32,0,100,64,128,AdaDelta
7,0.014906751923263073,0.1101987361907959,0.0156315416097641,0.11980491876602173,32,0,100,64,128,adam
100,0.09381906688213348,0.22231006622314453,0.05230317264795303,0.14930494129657745,32,0,100,128,64,AdaDelta
100,0.0007928584236651659,0.018604444339871407,0.0005703030619770288,0.01644613966345787,32,0,100,128,64,adam
100,0.09416939318180084,0.22264525294303894,0.05261313542723656,0.14958332479000092,32,0,100,128,128,AdaDelta
100,0.0007296933908946812,0.01828780397772789,0.0005339391645975411,0.015336169861257076,32,0,100,128,128,adam
100,0.093898706138134,0.22215330600738525,0.05232778564095497,0.1489991694688797,32,0,100,256,64,AdaDelta
5,0.013822924345731735,0.10551267117261887,0.015058126300573349,0.1131356954574585,32,0,100,256,64,adam
100,0.09367390722036362,0.22211004793643951,0.05225460231304169,0.14913256466388702,32,0,100,256,128,AdaDelta
100,0.000698160263709724,0.01701945625245571,0.000491740123834461,0.01420669723302126,32,0,100,256,128,adam
150,0.09345714747905731,0.2206169217824936,0.052140235900878906,0.14736734330654144,32,0,150,32,64,AdaDelta
9,0.016781024634838104,0.11334496736526489,0.017278656363487244,0.1260833442211151,32,0,150,32,64,adam
150,0.0928870439529419,0.22055470943450928,0.051789406687021255,0.14768454432487488,32,0,150,32,128,AdaDelta
8,0.016312817111611366,0.11363884061574936,0.017258841544389725,0.1262715756893158,32,0,150,32,128,adam
150,0.09691645950078964,0.22840559482574463,0.054432112723588943,0.15503087639808655,32,0,150,64,64,AdaDelta
7,0.01490914635360241,0.10704829543828964,0.01589360274374485,0.12109337002038956,32,0,150,64,64,adam
150,0.0937998816370964,0.22241850197315216,0.05238892510533333,0.1495126336812973,32,0,150,64,128,AdaDelta
150,0.0006366600864566863,0.016290539875626564,0.0005042408010922372,0.013698537833988667,32,0,150,64,128,adam
150,0.09592797607183456,0.2243327647447586,0.05346127226948738,0.15024049580097198,32,0,150,128,64,AdaDelta
6,0.013847341760993004,0.10525626689195633,0.015485048294067383,0.11763069033622742,32,0,150,128,64,adam
150,0.09374495595693588,0.22111797332763672,0.052298229187726974,0.14784501492977142,32,0,150,128,128,AdaDelta
6,0.01651986502110958,0.11582698673009872,0.016657143831253052,0.12288625538349152,32,0,150,128,128,adam
150,0.09464637190103531,0.22349728643894196,0.05283202975988388,0.1502273827791214,32,0,150,256,64,AdaDelta
150,0.000641488702967763,0.015853559598326683,0.00037380546564236283,0.011914321221411228,32,0,150,256,64,adam
150,0.09436383098363876,0.22257734835147858,0.05267336964607239,0.14925943315029144,32,0,150,256,128,AdaDelta
91,0.0005813103052787483,0.015885451808571815,0.0004068813577760011,0.012827547267079353,32,0,150,256,128,adam
200,0.09709211438894272,0.22742633521556854,0.0544334314763546,0.1535741239786148,32,0,200,32,64,AdaDelta
148,0.0006539036403410137,0.016933584585785866,0.000445182085968554,0.014703338034451008,32,0,200,32,64,adam
200,0.09338923543691635,0.22078081965446472,0.05209249258041382,0.14767220616340637,32,0,200,32,128,AdaDelta
7,0.022456027567386627,0.1307038813829422,0.023117590695619583,0.14485269784927368,32,0,200,32,128,adam
200,0.09189444035291672,0.2177778035402298,0.05105273425579071,0.1447194218635559,32,0,200,64,64,AdaDelta
7,0.013885256834328175,0.10534507036209106,0.015371021814644337,0.1185678094625473,32,0,200,64,64,adam
200,0.09138674288988113,0.21740369498729706,0.05084649845957756,0.14470860362052917,32,0,200,64,128,AdaDelta
7,0.015068265609443188,0.11071687191724777,0.015375600196421146,0.11872630566358566,32,0,200,64,128,adam
200,0.09093838185071945,0.21734297275543213,0.05057576671242714,0.14494512975215912,32,0,200,128,64,AdaDelta
6,0.014967945404350758,0.10812141746282578,0.0165651123970747,0.12337726354598999,32,0,200,128,64,adam
200,0.09120533615350723,0.21772916615009308,0.0508391372859478,0.1453714668750763,32,0,200,128,128,AdaDelta
200,0.0006592613062821329,0.015856318175792694,0.00037400293513201177,0.012037071399390697,32,0,200,128,128,adam
200,0.08781448006629944,0.21127665042877197,0.04857705160975456,0.13974332809448242,32,0,200,256,64,AdaDelta
6,0.012864969670772552,0.10296499729156494,0.0111640440300107,0.09747328609228134,32,0,200,256,64,adam
200,0.09220828860998154,0.21844582259655,0.05129503458738327,0.1453782021999359,32,0,200,256,128,AdaDelta
146,0.0005921347183175385,0.015014270320534706,0.00034986689570359886,0.01159821916371584,32,0,200,256,128,adam
50,0.10372906923294067,0.23803535103797913,0.05849042162299156,0.16262497007846832,32,0.1,50,32,64,AdaDelta
37,0.0023132821079343557,0.034577030688524246,0.001980898901820183,0.03320193290710449,32,0.1,50,32,64,adam
50,0.09301668405532837,0.22124500572681427,0.05191870406270027,0.14865948259830475,32,0.1,50,32,128,AdaDelta
8,0.01631644181907177,0.10968904942274094,0.01691940426826477,0.12468285113573074,32,0.1,50,32,128,adam
50,0.09743034094572067,0.22738775610923767,0.054506246000528336,0.1533622443675995,32,0.1,50,64,64,AdaDelta
8,0.014933435246348381,0.10825001448392868,0.01599707081913948,0.12182233482599258,32,0.1,50,64,64,adam
50,0.0958753228187561,0.22527092695236206,0.05347193032503128,0.1515229344367981,32,0.1,50,64,128,AdaDelta
42,0.001713335863314569,0.029522795230150223,0.0016284886514768004,0.028761686757206917,32,0.1,50,64,128,adam
50,0.0965612530708313,0.22653678059577942,0.05389472842216492,0.1528310924768448,32,0.1,50,128,64,AdaDelta
6,0.016025694087147713,0.11144419759511948,0.017364103347063065,0.1263095587491989,32,0.1,50,128,64,adam
50,0.09476723521947861,0.22458525002002716,0.053088076412677765,0.151680126786232,32,0.1,50,128,128,AdaDelta
37,0.0020191750954836607,0.031780291348695755,0.0015305464621633291,0.027754969894886017,32,0.1,50,128,128,adam
50,0.09804178774356842,0.22973376512527466,0.055077459663152695,0.15599139034748077,32,0.1,50,256,64,AdaDelta
5,0.014588707126677036,0.10851533710956573,0.01571892574429512,0.1161389946937561,32,0.1,50,256,64,adam
50,0.09513770043849945,0.22595345973968506,0.053440358489751816,0.15331660211086273,32,0.1,50,256,128,AdaDelta
50,0.0009570345282554626,0.02195732295513153,0.0008795636822469532,0.02058323286473751,32,0.1,50,256,128,adam
100,0.09849362820386887,0.23149776458740234,0.05518684163689613,0.1575065553188324,32,0.1,100,32,64,AdaDelta
75,0.002056460129097104,0.03254938870668411,0.0012843445874750614,0.025504019111394882,32,0.1,100,32,64,adam
100,0.09652828425168991,0.22644896805286407,0.05399949848651886,0.15263275802135468,32,0.1,100,32,128,AdaDelta
33,0.002765566809102893,0.036656156182289124,0.002098547760397196,0.03371390327811241,32,0.1,100,32,128,adam
100,0.09135566651821136,0.21951870620250702,0.051164399832487106,0.1476782262325287,32,0.1,100,64,64,AdaDelta
