round_epochs,loss,mae,val_loss,val_mae,batch_size,dropout,epochs,layer1_size,layer2_size,optimizer
8,0.01329975575208664,0.103736013174057,0.015276377089321613,0.1145947128534317,64,0,200,256,64,adam
200,0.0949697345495224,0.22503547370433807,0.05327162519097328,0.1521531492471695,64,0,200,256,128,AdaDelta
7,0.01403231080621481,0.10713186115026474,0.016071774065494537,0.1169041246175766,64,0,200,256,128,adam
50,0.09429650753736496,0.22280429303646088,0.05266497656702995,0.14971913397312164,64,0.1,50,32,64,AdaDelta
50,0.0029838234186172485,0.037630364298820496,0.0022744357120245695,0.03342035412788391,64,0.1,50,32,64,adam
50,0.09692595154047012,0.22861099243164062,0.0545862577855587,0.15555213391780853,64,0.1,50,32,128,AdaDelta
11,0.018849242478609085,0.11586781591176987,0.01787075400352478,0.12571419775485992,64,0.1,50,32,128,adam
50,0.10095439106225967,0.23365753889083862,0.056574948132038116,0.15877516567707062,64,0.1,50,64,64,AdaDelta
12,0.01752563752233982,0.11074011027812958,0.0162443146109581,0.12069094181060791,64,0.1,50,64,64,adam
50,0.09857487678527832,0.2300349771976471,0.055355023592710495,0.15598975121974945,64,0.1,50,64,128,AdaDelta
10,0.013596741482615471,0.10403206944465637,0.014736995100975037,0.11659662425518036,64,0.1,50,64,128,adam
50,0.09457764029502869,0.2263505905866623,0.05319337919354439,0.15419651567935944,64,0.1,50,128,64,AdaDelta
10,0.011439798399806023,0.09625612944364548,0.013350344263017178,0.10993395000696182,64,0.1,50,128,64,adam
50,0.09663555026054382,0.2270539253950119,0.0540517121553421,0.1533992737531662,64,0.1,50,128,128,AdaDelta
8,0.014585976488888264,0.10644842684268951,0.01675206795334816,0.12363970279693604,64,0.1,50,128,128,adam
50,0.09494452178478241,0.22464619576931,0.05313170701265335,0.15170347690582275,64,0.1,50,256,64,AdaDelta
8,0.013118107803165913,0.10220348089933395,0.015527150593698025,0.11771302670240402,64,0.1,50,256,64,adam
50,0.09586683660745621,0.22710128128528595,0.05376731976866722,0.15424299240112305,64,0.1,50,256,128,AdaDelta
7,0.014568349346518517,0.10881423950195312,0.01728675700724125,0.12259410321712494,64,0.1,50,256,128,adam
100,0.09464536607265472,0.22393788397312164,0.05290209501981735,0.15084603428840637,64,0.1,100,32,64,AdaDelta
48,0.0025674437638372183,0.03554943948984146,0.0023695873096585274,0.03534014895558357,64,0.1,100,32,64,adam
100,0.10059472918510437,0.23214009404182434,0.05634911358356476,0.15712939202785492,64,0.1,100,32,128,AdaDelta
12,0.01777585782110691,0.11498645693063736,0.01751675270497799,0.1257954090833664,64,0.1,100,32,128,adam
100,0.09774775058031082,0.2292805165052414,0.05480043590068817,0.15554985404014587,64,0.1,100,64,64,AdaDelta
12,0.014625448733568192,0.10877024382352829,0.015840714797377586,0.12122173607349396,64,0.1,100,64,64,adam
100,0.09815116971731186,0.22856199741363525,0.05478932335972786,0.1540943682193756,64,0.1,100,64,128,AdaDelta
10,0.014382930472493172,0.1046692505478859,0.015539648942649364,0.12021304666996002,64,0.1,100,64,128,adam
100,0.09080808609724045,0.21847130358219147,0.05073172226548195,0.1463828682899475,64,0.1,100,128,64,AdaDelta
10,0.012798912823200226,0.10104846954345703,0.014478106983006,0.11420217156410217,64,0.1,100,128,64,adam
100,0.09383133798837662,0.2224562019109726,0.052449148148298264,0.14957205951213837,64,0.1,100,128,128,AdaDelta
8,0.01682024635374546,0.11496549844741821,0.01854632794857025,0.1308562159538269,64,0.1,100,128,128,adam
100,0.09459887444972992,0.22384394705295563,0.05284201726317406,0.15072445571422577,64,0.1,100,256,64,AdaDelta
8,0.014160209335386753,0.1067180410027504,0.01585880108177662,0.11846422404050827,64,0.1,100,256,64,adam
100,0.0953732505440712,0.22670775651931763,0.05367057025432587,0.1542774885892868,64,0.1,100,256,128,AdaDelta
7,0.015188519842922688,0.11119147390127182,0.017427049577236176,0.12479537725448608,64,0.1,100,256,128,adam
150,0.09211166203022003,0.22164708375930786,0.05170502886176109,0.1500871628522873,64,0.1,150,32,64,AdaDelta
48,0.002244650386273861,0.032704632729291916,0.002008168026804924,0.033192869275808334,64,0.1,150,32,64,adam
150,0.09601747989654541,0.2261536717414856,0.053728487342596054,0.15267226099967957,64,0.1,150,32,128,AdaDelta
12,0.015463270246982574,0.10783331096172333,0.015937836840748787,0.12020612508058548,64,0.1,150,32,128,adam
150,0.0956386998295784,0.22615256905555725,0.0536544993519783,0.15295788645744324,64,0.1,150,64,64,AdaDelta
12,0.0150342658162117,0.10328640788793564,0.01443201769143343,0.11543361842632294,64,0.1,150,64,64,adam
150,0.09654080867767334,0.22873592376708984,0.054439909756183624,0.1561097949743271,64,0.1,150,64,128,AdaDelta
9,0.02026044949889183,0.11910493671894073,0.019184386357665062,0.13090716302394867,64,0.1,150,64,128,adam
150,0.09593166410923004,0.22713275253772736,0.053843192756175995,0.15417486429214478,64,0.1,150,128,64,AdaDelta
9,0.01174861378967762,0.0954396203160286,0.013198569416999817,0.1100161224603653,64,0.1,150,128,64,adam
150,0.09623552858829498,0.22688187658786774,0.053942032158374786,0.1535346508026123,64,0.1,150,128,128,AdaDelta
9,0.013386107981204987,0.10363692045211792,0.015461958013474941,0.1186482384800911,64,0.1,150,128,128,adam
150,0.09826673567295074,0.2304040491580963,0.05524846166372299,0.1566285341978073,64,0.1,150,256,64,AdaDelta
8,0.012958499602973461,0.10306853801012039,0.014966640621423721,0.11364073306322098,64,0.1,150,256,64,adam
150,0.09464771300554276,0.22412678599357605,0.05297373607754707,0.1512337028980255,64,0.1,150,256,128,AdaDelta
6,0.013084514997899532,0.10140348970890045,0.016566352918744087,0.12127084285020828,64,0.1,150,256,128,adam
200,0.09502474963665009,0.2252659797668457,0.05330679193139076,0.15235763788223267,64,0.1,200,32,64,AdaDelta
75,0.002764561213552952,0.03560025244951248,0.001990108285099268,0.031771425157785416,64,0.1,200,32,64,adam
200,0.093575619161129,0.22097228467464447,0.052086107432842255,0.14765246212482452,64,0.1,200,32,128,AdaDelta
11,0.017530813813209534,0.11316721141338348,0.017327474430203438,0.12502871453762054,64,0.1,200,32,128,adam
200,0.09376571327447891,0.22189471125602722,0.052297621965408325,0.1487019807100296,64,0.1,200,64,64,AdaDelta
11,0.013954222202301025,0.1025022491812706,0.014456721022725105,0.11567443609237671,64,0.1,200,64,64,adam
200,0.09410130232572556,0.2233443260192871,0.05269543454051018,0.15058544278144836,64,0.1,200,64,128,AdaDelta
10,0.016946928575634956,0.11514309793710709,0.018089979887008667,0.12942710518836975,64,0.1,200,64,128,adam
200,0.09168399125337601,0.21838782727718353,0.05109637230634689,0.14601819217205048,64,0.1,200,128,64,AdaDelta
10,0.014841677621006966,0.10757666826248169,0.015837466344237328,0.12081306427717209,64,0.1,200,128,64,adam
200,0.09405700862407684,0.22366170585155487,0.05269179493188858,0.15098686516284943,64,0.1,200,128,128,AdaDelta
8,0.01292366348206997,0.10008745640516281,0.015345149673521519,0.11872320622205734,64,0.1,200,128,128,adam
200,0.09407643228769302,0.22371791303157806,0.0526248924434185,0.15091510117053986,64,0.1,200,256,64,AdaDelta
8,0.01254607830196619,0.10094795376062393,0.01478627510368824,0.11381904780864716,64,0.1,200,256,64,adam
200,0.09472254663705826,0.22346071898937225,0.05291220545768738,0.1501709669828415,64,0.1,200,256,128,AdaDelta
6,0.013591990806162357,0.10330019891262054,0.016989996656775475,0.12242884188890457,64,0.1,200,256,128,adam
50,0.09925293922424316,0.2322271317243576,0.055854517966508865,0.15832288563251495,64,0.15,50,32,64,AdaDelta
50,0.0024526386987417936,0.034427937120199203,0.0019537790212780237,0.03305039182305336,64,0.15,50,32,64,adam
50,0.09541114419698715,0.22526825964450836,0.05338330194354057,0.1520085632801056,64,0.15,50,32,128,AdaDelta
11,0.016360919922590256,0.11091785877943039,0.016712835058569908,0.12338132411241531,64,0.15,50,32,128,adam
50,0.0932367742061615,0.22376412153244019,0.05244707316160202,0.15197621285915375,64,0.15,50,64,64,AdaDelta
12,0.014689119532704353,0.1012987494468689,0.013809907250106335,0.1129082441329956,64,0.15,50,64,64,adam
50,0.09646789729595184,0.228681281208992,0.054390303790569305,0.15607039630413055,64,0.15,50,64,128,AdaDelta
9,0.016401389613747597,0.10928124934434891,0.01622081734240055,0.1223188266158104,64,0.15,50,64,128,adam
50,0.09610290080308914,0.22677069902420044,0.053958941251039505,0.15369637310504913,64,0.15,50,128,64,AdaDelta
10,0.013219776563346386,0.10289885848760605,0.014426322653889656,0.11457870155572891,64,0.15,50,128,64,adam
50,0.09647714346647263,0.2285662740468979,0.054301291704177856,0.15572407841682434,64,0.15,50,128,128,AdaDelta
8,0.012322744354605675,0.09763024747371674,0.014766405336558819,0.11670997738838196,64,0.15,50,128,128,adam
50,0.09732495248317719,0.22871871292591095,0.05463032051920891,0.15532399713993073,64,0.15,50,256,64,AdaDelta
8,0.012381243519484997,0.09865702688694,0.01470214780420065,0.11351831257343292,64,0.15,50,256,64,adam
50,0.09458806365728378,0.22449593245983124,0.052973128855228424,0.15172170102596283,64,0.15,50,256,128,AdaDelta
7,0.01496822852641344,0.11061571538448334,0.0161130428314209,0.1175149530172348,64,0.15,50,256,128,adam
100,0.09509772807359695,0.22549809515476227,0.0531872920691967,0.15278851985931396,64,0.15,100,32,64,AdaDelta
13,0.015294835902750492,0.10393153131008148,0.01405479945242405,0.11355938017368317,64,0.15,100,32,64,adam
100,0.09263049811124802,0.22206856310367584,0.0520787350833416,0.15020129084587097,64,0.15,100,32,128,AdaDelta
10,0.01882576011121273,0.11485639214515686,0.018296919763088226,0.12696269154548645,64,0.15,100,32,128,adam
100,0.09609516710042953,0.22662757337093353,0.05394692346453667,0.15344317257404327,64,0.15,100,64,64,AdaDelta
12,0.015287835150957108,0.1081666350364685,0.015633026137948036,0.12048738449811935,64,0.15,100,64,64,adam
100,0.09414905309677124,0.22385196387767792,0.05270712077617645,0.1513696014881134,64,0.15,100,64,128,AdaDelta
9,0.02090497501194477,0.12195061147212982,0.018717894330620766,0.12926359474658966,64,0.15,100,64,128,adam
100,0.09430737048387527,0.22483225166797638,0.05301704257726669,0.15259547531604767,64,0.15,100,128,64,AdaDelta
9,0.013465693220496178,0.10039675980806351,0.014495467767119408,0.11590509861707687,64,0.15,100,128,64,adam
100,0.09576910734176636,0.22563718259334564,0.05357854813337326,0.15215450525283813,64,0.15,100,128,128,AdaDelta
8,0.015348372980952263,0.10972857475280762,0.017499353736639023,0.12696534395217896,64,0.15,100,128,128,adam
100,0.09386376291513443,0.2229461967945099,0.052544765174388885,0.1503591686487198,64,0.15,100,256,64,AdaDelta
8,0.01360949408262968,0.10492495447397232,0.015428178943693638,0.11531154811382294,64,0.15,100,256,64,adam
100,0.09583447873592377,0.22471684217453003,0.05344858393073082,0.15084239840507507,64,0.15,100,256,128,AdaDelta
7,0.014192076399922371,0.10773377865552902,0.016346706077456474,0.11829418689012527,64,0.15,100,256,128,adam
150,0.10040698200464249,0.23149874806404114,0.056105248630046844,0.1562308520078659,64,0.15,150,32,64,AdaDelta
51,0.0032426274847239256,0.03849931061267853,0.0021452060900628567,0.032391708344221115,64,0.15,150,32,64,adam
150,0.0975947380065918,0.2289704531431198,0.05489635467529297,0.15536297857761383,64,0.15,150,32,128,AdaDelta
64,0.0024148107040673494,0.03478367626667023,0.0019642640836536884,0.031689051538705826,64,0.15,150,32,128,adam
150,0.09365715831518173,0.22186821699142456,0.05217674374580383,0.14878813922405243,64,0.15,150,64,64,AdaDelta
11,0.014074830338358879,0.1031583845615387,0.014615609310567379,0.11644765734672546,64,0.15,150,64,64,adam
150,0.09916838258504868,0.23055993020534515,0.05554825812578201,0.15611928701400757,64,0.15,150,64,128,AdaDelta
9,0.015322866849601269,0.10895802825689316,0.01647983491420746,0.12342006713151932,64,0.15,150,64,128,adam
150,0.09331419318914413,0.22163203358650208,0.05215438827872276,0.14910849928855896,64,0.15,150,128,64,AdaDelta
10,0.013898927718400955,0.10544686764478683,0.015474973246455193,0.11946690082550049,64,0.15,150,128,64,adam
150,0.0986262857913971,0.23032353818416595,0.055319517850875854,0.15618018805980682,64,0.15,150,128,128,AdaDelta
8,0.01370092574506998,0.10443893074989319,0.01688346266746521,0.12392692267894745,64,0.15,150,128,128,adam
150,0.09818438440561295,0.22865596413612366,0.05495750159025192,0.1543547511100769,64,0.15,150,256,64,AdaDelta
8,0.01262351218611002,0.09854921698570251,0.015396373346447945,0.11823534220457077,64,0.15,150,256,64,adam
150,0.09706136584281921,0.22566255927085876,0.05392986163496971,0.15096965432167053,64,0.15,150,256,128,AdaDelta
7,0.014459231868386269,0.10874050855636597,0.01647171936929226,0.12009134143590927,64,0.15,150,256,128,adam
200,0.09300264716148376,0.22158502042293549,0.05219695344567299,0.14919894933700562,64,0.15,200,32,64,AdaDelta
15,0.016642028465867043,0.10980602353811264,0.015430797822773457,0.11864423751831055,64,0.15,200,32,64,adam
200,0.09037856012582779,0.2169077843427658,0.05029166489839554,0.14486800134181976,64,0.15,200,32,128,AdaDelta
13,0.01455861609429121,0.10591614991426468,0.01594260334968567,0.1206112876534462,64,0.15,200,32,128,adam
200,0.09582573175430298,0.22686368227005005,0.05371785908937454,0.15388621389865875,64,0.15,200,64,64,AdaDelta
11,0.013638102449476719,0.09955277293920517,0.01382150687277317,0.11319057643413544,64,0.15,200,64,64,adam
200,0.09679461270570755,0.22571799159049988,0.05400495603680611,0.15145175158977509,64,0.15,200,64,128,AdaDelta
10,0.0160886999219656,0.11070772260427475,0.01755143515765667,0.12720462679862976,64,0.15,200,64,128,adam
200,0.09622978419065475,0.22640477120876312,0.05398835986852646,0.15283943712711334,64,0.15,200,128,64,AdaDelta
10,0.011999971233308315,0.09635002911090851,0.013475158251821995,0.11134260147809982,64,0.15,200,128,64,adam
200,0.09510811418294907,0.22459499537944794,0.053287800401449203,0.151227205991745,64,0.15,200,128,128,AdaDelta
9,0.015376024879515171,0.11153232306241989,0.016606571152806282,0.1226198747754097,64,0.15,200,128,128,adam
200,0.09579906612634659,0.22641834616661072,0.05367618799209595,0.15321898460388184,64,0.15,200,256,64,AdaDelta
7,0.012035125866532326,0.09717164933681488,0.01473546028137207,0.11460705101490021,64,0.15,200,256,64,adam
200,0.0961175337433815,0.22469039261341095,0.0535784550011158,0.15054985880851746,64,0.15,200,256,128,AdaDelta
7,0.01536452118307352,0.11071837693452835,0.017162851989269257,0.12254709005355835,64,0.15,200,256,128,adam
